source,target,flow
33,8,3.4
33,12,32.3
33,19,7.6
33,33,414.3
33,34,7.9
33,41,45
33,42,668
33,44,42.6
33,45,13.8
33,51,10.3
33,52,92.6
33,53,505.6
33,54,263.2
33,55,187.6
33,56,7.1
33,57,25.8
33,64,10.4
33,65,27
33,73,17.8
33,76,2.8
33,88,11.6
33,100,15.9
33,102,58.7
33,103,15
33,111,76.3
33,122,11.8
33,134,29.4
33,147,7.3
33,162,96.3
33,178,34.6
34,19,18.8
34,33,515.7
34,34,611.3
34,35,819.3
34,41,8.7
34,42,10053.8
34,43,305.4
34,44,74
34,52,111.4
34,53,716.6
34,54,7377
34,55,908.7
34,56,225.3
34,65,108.4
34,78,58.7
34,79,300.6
34,100,19.9
34,102,294.3
34,111,257.7
34,121,7.9
34,122,191.2
34,134,274.7
34,162,1295.1
34,177,98.4
35,8,131.7
35,34,856.2
35,35,165
35,36,75.6
35,42,13.8
35,43,529.2
35,44,1459.9
35,45,499.4
35,46,12.3
35,47,61.7
35,51,90.3
35,52,38.3
35,54,337.5
35,55,959.4
35,56,1133.4
35,57,523.6
35,58,45
35,62,74.5
35,92,13.8
35,102,10
35,111,12.3
35,117,98.5
35,134,219.9
35,162,253.6
36,10,22.9
36,35,115.7
36,37,73.1
36,43,75.6
36,44,436.9
36,45,771.7
36,47,109.1
36,53,38.1
36,54,201
36,55,361.9
36,56,339.2
36,57,172.6
36,58,17.7
36,102,35.4
36,106,15
36,111,1.2
36,122,28.2
36,147,6.2
36,162,40.2
37,37,270.2
37,38,45.9
37,39,18.1
37,44,34.8
37,45,994.7
37,46,1635.5
37,47,1087.2
37,54,7.1
37,55,191.3
37,56,121.8
37,57,731.7
37,68,6.7
37,73,160.8
37,82,39.1
37,100,2.7
37,102,55.9
37,111,3.4
37,117,225.8
37,122,4.6
37,134,232.9
37,147,7.8
37,162,126.9
38,37,705.5
38,39,359.1
38,45,42
38,47,866.5
38,50,2.5
38,53,47.8
38,55,47.8
38,59,237.4
38,60,95.1
38,62,130.2
38,72,5.2
38,73,245
38,111,28.7
39,12,301
39,37,69.3
39,38,392.4
39,47,577.9
39,48,128.7
39,49,280
39,50,448.5
39,51,636.2
39,53,166.1
39,55,1150.3
39,56,131.3
39,57,201
39,59,1532.9
39,60,1059.9
39,62,1014.9
39,63,222
39,71,12.3
39,72,997.1
39,73,832.3
39,76,421.6
39,82,131.1
39,86,69.3
39,88,163
39,99,33.4
39,100,564.1
39,102,51.5
39,111,670
39,121,285.6
39,122,562.8
39,161,46.5
39,162,479
39,166,27.7
39,241,27.7
39,242,34.4
39,262,6.6
39,390,55.4
39,434,12.9
39,531,12
40,41,22.2
40,42,7.4
40,52,130.6
40,53,47
40,55,39.1
40,162,19.9
41,8,100.6
41,19,5.5
41,33,28.5
41,34,3.7
41,42,36.8
41,44,34.1
41,47,13.2
41,52,869.2
41,53,1978.9
41,54,124.6
41,55,65.3
41,56,10.6
41,57,10.8
41,78,9
41,82,1.7
41,87,98.3
41,88,1.3
41,100,85.5
41,102,49.5
41,106,5.8
41,111,236.2
41,117,28.9
41,121,9.8
41,122,109
41,134,78.6
41,161,17.9
41,162,266.4
41,171,2.4
41,177,30
41,178,55.3
41,261,2.4
41,262,19.2
41,368,3.2
41,386,20.4
41,388,56.8
41,390,2.8
41,434,33.1
41,530,42.1
41,541,79.2
41,556,25
41,617,147.1
41,619,19.3
41,671,35.2
41,672,36.5
41,673,139.2
41,674,8.9
41,701,5
42,8,112.3
42,10,10.3
42,12,32.6
42,18,3.7
42,19,8.2
42,20,8.2
42,28,2.3
42,33,164.3
42,34,154.1
42,41,36.1
42,42,1069.3
42,43,25.5
42,44,67.7
42,45,22.6
42,47,12.5
42,51,14.9
42,52,60.8
42,53,1444.5
42,54,2354.8
42,55,212.9
42,56,39.4
42,57,43.1
42,59,6.4
42,62,24.3
42,63,19.5
42,64,8
42,65,36
42,66,2.1
42,72,18.6
42,73,45.8
42,74,14.3
42,75,12.6
42,76,3.8
42,78,6.9
42,79,41.7
42,86,15
42,88,14.9
42,89,4.6
42,91,17.4
42,99,1.3
42,100,108.3
42,102,90.1
42,103,1
42,106,24.7
42,111,576.6
42,117,14.9
42,121,62
42,122,115
42,134,142.1
42,136,2
42,137,10
42,147,7.8
42,149,15.3
42,158,4.1
42,161,14.6
42,162,312.5
42,166,7.1
42,170,2.4
42,171,30
42,177,46.4
42,178,45.6
42,192,21.6
42,230,5.1
42,233,50.7
42,241,8
42,242,19.4
42,261,6.6
42,262,68
42,364,0.4
42,368,80.1
42,388,50.2
42,389,2.2
42,390,172.9
42,391,2.6
42,403,3
42,405,7.4
42,410,25.4
42,425,14
42,434,70
42,439,2.8
42,482,11.7
42,499,3.1
42,513,7.9
42,515,2.6
42,529,3.1
42,531,19.4
42,551,42.5
42,556,11.1
42,566,7.8
42,570,1.8
42,571,3.6
42,572,4.3
42,586,7.3
42,587,37.5
42,614,8.1
42,616,10.4
42,617,31.8
42,619,40.1
42,627,0.9
42,628,12.5
42,630,3.6
42,631,1.3
42,632,37.2
42,634,13.8
42,641,6
42,643,34.7
42,646,7.8
42,655,57.8
42,661,103.8
42,665,63
42,666,10.9
42,671,10.1
42,672,0.5
42,673,64.9
42,674,20.9
42,681,2.7
42,686,18.5
42,689,45.2
42,698,10.1
42,699,19.3
43,8,3.3
43,19,3.2
43,33,13.8
43,34,14.7
43,35,122.6
43,36,36.7
43,41,1.5
43,42,28.4
43,43,1441.9
43,44,916.2
43,45,2.4
43,46,3.1
43,47,21.5
43,52,10
43,53,14.2
43,54,105.2
43,55,1218.7
43,56,286.3
43,57,82
43,66,3.7
43,73,3.9
43,78,0.7
43,82,1.9
43,91,2.7
43,102,27.1
43,117,19
43,121,5.4
43,122,7.9
43,134,15.4
43,147,2.5
43,162,77.9
43,177,4.6
43,270,3.3
45,6,0.2
45,8,0.1
45,10,2.7
45,18,0.1
45,35,2.3
45,37,14.6
45,42,4.1
45,44,30.2
45,45,81.9
45,46,34.2
45,47,32
45,51,2.3
45,52,0.9
45,53,0.8
45,54,2.4
45,55,84.1
45,56,24.1
45,57,26.2
45,58,1
45,61,1.4
45,62,4.9
45,63,3
45,68,0.3
45,72,1.3
45,73,3.2
45,74,3.2
45,76,4.5
45,79,2.3
45,84,0.8
45,88,2.6
45,102,2.1
45,103,1.1
45,106,5.9
45,111,11.2
45,113,0.4
45,117,1
45,121,3.2
45,122,8.6
45,134,9.8
45,161,3
45,162,11.3
45,170,0.1
45,171,6.2
45,177,3.2
45,178,9.5
45,192,0.4
45,241,2.1
45,242,5.9
45,261,1.8
45,262,0.7
45,386,1.4
45,388,4.6
45,390,21
45,408,0.2
45,410,1.2
45,439,1
45,442,0.1
45,456,0.5
45,499,0.2
45,506,1
45,531,5.8
45,560,1.1
45,586,4
45,595,2.2
45,617,0.9
45,619,2.4
45,627,0.8
45,632,0.2
45,646,1
45,654,0.1
45,661,2
45,681,2.1
45,689,4.5
45,695,0.2
45,698,0.3
46,8,7.5
46,12,2.6
46,37,154.5
46,43,10.2
46,44,38.3
46,45,475.6
46,47,312.6
46,52,5
46,56,31.8
46,57,64.5
46,58,43.1
46,72,15.2
46,74,1.6
46,88,2.3
46,106,6.8
46,111,53
46,134,2.2
46,149,3.4
46,162,39.6
46,178,12.8
46,619,9.7
50,12,16.4
50,37,2.9
50,44,4.9
50,45,0.1
50,47,4.7
50,48,15.4
50,50,156.1
50,51,64.7
50,57,5.6
50,60,9.1
50,61,2.7
50,62,45.3
50,63,3
50,72,11
50,73,30.2
50,88,6.2
50,111,17.3
50,117,3
50,134,8.4
50,178,2.2
50,634,4.8
51,6,163.9
51,10,18.1
51,12,17.5
51,14,4.1
51,33,38
51,44,6.5
51,47,8.4
51,49,0.2
51,51,80.8
51,52,109.5
51,53,2.1
51,54,9.1
51,55,1724.6
51,57,971
51,61,2832.1
51,62,20172.7
51,63,1802.5
51,72,3523.8
51,73,417.3
51,74,1.5
51,75,13.8
51,76,32.4
51,82,579.8
51,84,4.1
51,86,2.6
51,88,3.3
51,100,1309.6
51,106,0.1
51,111,86.2
51,113,0.5
51,117,17.9
51,121,148.2
51,122,1372.7
51,134,1205.5
51,141,38.5
51,146,0.1
51,161,10.7
51,162,907.1
51,166,3.6
51,171,110.5
51,177,0.2
51,232,0.7
51,233,6.9
51,242,854.7
51,246,0.9
51,261,0.7
51,368,0.3
51,388,8.1
51,390,2621.6
51,434,10.8
51,457,0.4
51,506,4.5
51,529,172.2
51,531,2.8
51,551,0.9
51,552,1
51,585,11
51,586,13.1
51,593,1
51,595,2.4
51,612,0.6
51,619,195.1
51,627,251.3
51,632,6.8
51,633,0.3
51,634,446.5
51,636,0.4
51,646,259.5
51,654,15.7
51,655,1
51,661,1144.9
